job_id,job_title,industry_name,salary_min,salary_max,salary_unit,salary_period,experience_required,education_required,status,publish_date,collected_at,company_name,city,job_benefits,job_description,industry_standard,industry_group,job_skills,other_requirement,exp_numeric,salary_min_norm,salary_max_norm,avg_salary,skills_list,merged_job_skills,cluster
171601792,活动执行专员,计算机软件,9.0,10.0,千,月,无需经验,大专,在线,2026-04-15 05:12:37,2026-04-15 17:49:43,上海柔和灵动科技有限公司,南昌·青山湖区,"带薪年假,员工旅游,年终奖金,绩效奖金,定期体检,出差补贴","职位详情：
【工作内容】
- 负责公司各类市场活动的策划、组织与执行，确保活动顺利进行；
- 协调内外部资源，包括供应商、场地、人员等，保障活动高效落地；
- 跟进活动全流程，撰写活动总结报告并提出优化建议；
- 支持团队完成活动相关的宣传推广及客户接待工作。
【任职要求】
- 大专及以上学历，市场营销、传媒、管理等相关专业优先；
- 具备良好的沟通协调能力与执行力，能适应高强度工作节奏；
- 熟悉活动流程管理，有相关实习或工作经验者优先；
- 具备较强的责任心和团队合作精神，能够独立完成任务。

年龄要求：
25岁以上

职能类别：
活动执行",信息技术/软件,计算机技术,"活动总结, 线上线下活动, 执行",大专及以上学历；市场营销、传媒、管理等相关专业优先；能适应高强度工作节奏,0.0,9000.0,10000.0,9500.0,"['活动总结', '线上线下活动', '执行']","活动总结,线上线下活动,执行",1
171574040,erp实施顾问,电子商务,8.0,10.0,千,月,无需经验,大专,在线,2026-04-15 00:59:27,2026-04-15 17:49:56,温州崇希贸易有限公司,温州·瓯海区,"五险一金,补充医疗保险,绩效奖金,年终奖金,带薪年假","职位详情：
【工作内容】
- 负责企业ERP系统的需求调研与方案设计，结合业务流程制定信息化解决方案
- 参与项目全周期管理，包括系统配置、数据迁移、模块开发及上线部署
- 配合客户完成系统功能测试与用户培训，确保系统高效稳定运行
- 协同技术团队解决系统集成问题，推动跨部门协作达成数字化转型目标
【任职要求】
- 大专及以上学历，计算机科学、信息管理或相关专业优先（优秀应届生可放宽条件）
- 熟悉主流ERP系统（如SAP/Oracle/金蝶等），掌握至少一种主流数据库操作技能
- 具备良好的逻辑思维能力与沟通协调技巧，能独立处理客户需求分析与文档编写
- 拥有较强的学习适应力，能快速理解复杂业务场景并转化为技术实现方案
- 具备基础英语读写能力者优先考虑，需持有PMP/CISP等认证证书者加分

职能类别：
ERP实施顾问",互联网/电子商务,计算机技术,"oracle, 数据库, erp, 需求调研, sap, 金蝶, 方案设计, 文档编写, 英语读写",大专及以上学历；计算机科学、信息管理或相关专业优先（优秀应届生可放宽条件）；拥有较强的学习适应力,0.0,8000.0,10000.0,9000.0,"['oracle', '数据库', 'erp', '需求调研', 'sap', '金蝶', '方案设计', '文档编写', '英语读写']","oracle,数据库,erp,需求调研,sap,金蝶,方案设计,文档编写,英语读写",1
171617380,具身智能机械工程师,人工智能,1.5,2.5,万,月,3年,本科,在线,2026-04-15 15:24:33,2026-04-15 17:55:14,节卡机器人股份有限公司,上海·闵行区,"五险一金,绩效奖金,定期体检,餐饮补贴,带薪年假","职位详情：
工作职责:
1. 非标设计能力
独立完成非标机构、工装夹具、移栽、旋转、升降、输送等结构设计
熟悉气缸、电机、丝杆、导轨、皮带、链传动、凸轮等标准件选型
能做公差配合、材料选型、强度校核、DFM可制造性设计
2. 软件能力
熟练使用 SolidWorks / Creo / UG 至少一种
会出工程图、BOM、装配图、零件图
加分：Adams、ANSYS、ABAQUS 仿真、运动仿真
3. 机电结合能力
熟悉电机、伺服、步进、气缸、传感器集成
懂基本电控配合、气路、布线、安装调试
能与电气、算法、AI工程师协同开发
4. 加工与落地能力
熟悉机加工、钣金、铝型材、3D打印、注塑等工艺
跟进样机装配、调试、问题整改、迭代优化
5. 具身智能相关加分项
做过机器人末端执行器、夹爪、灵巧手、人机交互机构
参与过具身智能实验平台、机器人操作、抓取、移动操作平台
了解机器人运动学、动力学、柔顺机构
任职资格:
具备3c电子，汽车行业及一般工业场景非标设计项目落地经验优先
具备良好的问题解决能力、动手能力、抗压能力；
工作严谨细致，有质量意识和成本意识；
良好的沟通协作能力，能跨团队（电控 / 算法 / 测试 / 生产）协同；
对机器人与具身智能技术有热情，愿意持续学习新技术。

职能类别：
机械设计",信息技术/AI人工智能,计算机技术,"非标设计能力, 机器人末端执行器 夹爪 灵巧手, 机器人运动学 动力学 柔顺机构, 3c电子 汽车行业及一般工业场景非标设计项目落地经验",具备良好的问题解决能力、动手能力、抗压能力；工作严谨细致；有质量意识和成本意识；良好的沟通协作能力,0.3,15000.0,25000.0,20000.0,"['非标设计能力', '机器人末端执行器 夹爪 灵巧手', '机器人运动学 动力学 柔顺机构', '3c电子 汽车行业及一般工业场景非标设计项目落地经验']","非标设计能力,机器人末端执行器 夹爪 灵巧手,机器人运动学 动力学 柔顺机构,3c电子 汽车行业及一般工业场景非标设计项目落地经验",2
171619379,销售运营管理,人工智能,6.0,9.0,千,月,1年及以上,大专,在线,2026-04-15 16:06:31,2026-04-15 18:11:28,上海近屿智能科技有限公司,上海·徐汇区,,"职位详情：
职位要求：
1、与公司其它部门协调沟通，协助销售人员完成销售目标
2、具备一定的文档编辑、数据分析能力，逻辑思维能力尤佳。
3、建立公司销售数据库；协助销售人员输入、维护、汇总销售数据；
4、 协助完成销售sop和系统操作定期培训
5、协助公司做好销售支持工作
6、协助完成部门其他事务性工作及领导安排的其他任务。
任职要求：
1、本科及以上学历，接受25届应届生，有意向往销售管理与运营支持发展的同学，专业不限。
2、具有良好的表达及人际沟通能力、思考力，抗压力，组织协调能力；
3、对销售工作做感兴趣，目标意识强，具有坚持不懈的毅力；
4、通勤时间合适

职能类别：
业务分析专员/助理",信息技术/AI人工智能,计算机技术,"销售, 数据分析, 销售支持",1、本科及以上学历；组织协调能力；3、对销售工作做感兴趣；目标意识强；具有坚持不懈的毅力；4、通勤时间合适,0.1,6000.0,9000.0,7500.0,"['销售', '数据分析', '销售支持']","销售,数据分析,销售支持",1
171598940,（周结）32元/小时（有食堂）设备厂招装配电工,人工智能,1.1,1.2,万,月,1年及以上,中技/中专,在线,2026-04-14 18:59:30,2026-04-15 18:41:28,兄弟连供应链管理（天津）有限公司,武汉·蔡甸区,,"职位详情：
（周结）32元/小时（有食堂） 武汉设备厂招装配电工

主要是生产智能移动机器人，20-45岁以内，必须要能接受夜班。

岗位要求：
电工：（必须持有证）会看图纸，能看懂一次、二次线线路图，根据图纸装配，能熟练使用剥线钳、压线钳、线号机、万用表、电烙铁等专业工具。


薪资待遇：32元/小时（30元/小时+2元/小时住宿补贴）
每周四结算上周工资

厂区有食堂：白班提供中餐，夜班提供夜宵餐


工作地址：武汉市蔡甸区全力一路

年龄要求：
20-45岁

职能类别：
电工",信息技术/AI人工智能,计算机技术,"图纸, 装配, 万用表, 电工, 压线钳, 剥线钳, 电烙铁",工作地址：,0.1,11000.0,12000.0,11500.0,"['图纸', '装配', '万用表', '电工', '压线钳', '剥线钳', '电烙铁']","图纸,装配,万用表技能包,电工,压线钳,剥线钳,电烙铁",1
171561696,长沙中联装配钳工（包吃住）,人工智能,7.0,9.0,千,月,无需经验,,在线,2026-04-15 09:24:17,2026-04-15 18:42:04,兄弟连供应链管理（天津）有限公司,株洲·天元区,"包吃住,餐补,五险","职位详情：
（包吃住）长沙中联工起工厂招车间《装配钳工》

包住宿，免费工作餐加班两餐

综合薪资：25元/时，综合薪资7000~9000（包吃住）

要求：会打螺丝有工厂组装经验就可以，能接受延时加班

上班时间：8：30对8：30，会有延长加班时间，目前白班，后期会开双班要能接受

发薪时间：每月26-28日发上月工资，可预支工资

上班地址：湖南省长沙市望城区《公交站：月季路公交首末站》

年龄要求：
18-40岁

职能类别：
钳工",信息技术/AI人工智能,计算机技术,"打螺丝, 装配钳工",会打螺丝有工厂组装经验就可以；上班时间：；发薪时间：；上班地址：,0.0,7000.0,9000.0,8000.0,"['打螺丝', '装配钳工']","打螺丝,装配钳工",1
171564093,(CNC)操作工管住 （长沙）,人工智能,9.0,10.0,千,月,3年及以上,,在线,2026-04-15 09:09:16,2026-04-15 18:42:46,兄弟连供应链管理（天津）有限公司,株洲,"餐补,保险,五险,带薪年假,绩效奖金,项目奖金,专业培训","职位详情：
任职要求：


熟悉法兰克系统，会调机，能看懂机械加工图纸

具备3年以上加工精密零件工作经验，能接受加班倒班;

时薪：32/h+2餐补

上班地址：长沙雨花区

职能类别：
普工/操作工",信息技术/AI人工智能,计算机技术,"调机, 法兰克系统, 机械加工图纸",会调机；时薪：；上班地址：,0.3,9000.0,10000.0,9500.0,"['调机', '法兰克系统', '机械加工图纸']","调机,法兰克系统技能包,机械加工图纸",2
171564463,合肥装配电工（纯白班）,人工智能,9.0,10.0,千,月,1-3年,中技/中专,在线,2026-04-15 09:24:39,2026-04-15 18:43:07,兄弟连供应链管理（天津）有限公司,合肥·庐阳区,"绩效奖金,项目奖金,专业培训,五险,带薪年假","职位详情：
（包住）合肥庐江县设备工厂招装配电工

要求：
18-45岁，男女不限，1-3年经验，中专/中技，电气装配，有低压电工证优先
身体健康、手脚灵活、能吃苦耐劳

纯白班
装配电工
工价：32元/小时
上班时间：8点30-20:30，实际出勤时间按10.5小时，偶尔加班到22:00

提供10元/份盒饭，商保每月扣120元

地址：安徽省合肥市庐江县（最近公交站：珍新米厂）

年龄要求：
18-45岁

职能类别：
电工",信息技术/AI人工智能,计算机技术,"电气装配, 低压电工证",18-45岁；身体健康、手脚灵活、能吃苦耐劳；上班时间：；实际出勤时间按10.5小时,0.2,9000.0,10000.0,9500.0,"['电气装配', '低压电工证']","电气装配,低压电工证",1
171564447,襄阳（非标）装配电工，五险一金,人工智能,7.0,8.0,千,月,无需经验,,在线,2026-04-15 09:09:16,2026-04-15 18:43:57,兄弟连供应链管理（天津）有限公司,襄阳,"包吃住,五险一金","职位详情：
（五险一金）包吃住 正式工——装配电工

湖北襄阳自动化设备厂招聘装配电工

人员要求：18-40岁，必须有非标自动化设备装配工作经验、看懂2D3D图纸、会一次接线二次接线。

装配电工：7K-8K

备注：电工入职自带工具

上班地址：湖北襄阳市襄州区机场路（母庄公交站下车）

年龄要求：
18-40岁

职能类别：
电工",信息技术/AI人工智能,计算机技术,"电工, 装配电工, 2d3d图纸",人员要求：；18-40岁；上班地址：；18-40岁,0.0,7000.0,8000.0,7500.0,"['电工', '装配电工', '2d3d图纸']","电工,装配电工技能包",1
171572960,自动化调试工程师（周结包吃住）,人工智能,9.0,10.0,千,月,无需经验,,在线,2026-04-15 09:24:17,2026-04-15 18:44:58,兄弟连供应链管理（天津）有限公司,襄阳,"包吃住,绩效奖金,项目奖金,专业培训","职位详情：
周结）包吃住 ——调试工程师

湖北襄阳自动化设备厂招聘调试工程师

人员要求：1年以上自动化设备安装调试相关经验;

调试工程师：35元/小时

工资周结，每周五结算上周工资

上班地址：湖北襄阳市襄州区机场路（母庄公交站下车）

职能类别：
机械设备工程师",信息技术/AI人工智能,计算机技术,"自动化设备安装调试, 1年以上相关经验",人员要求：；35元/小时；上班地址：,0.0,9000.0,10000.0,9500.0,"['自动化设备安装调试', '1年以上相关经验']","自动化设备安装调试,1年以上相关经验",1
