job_id,job_title,industry_name,salary_min,salary_max,salary_unit,salary_period,experience_required,education_required,status,publish_date,collected_at,company_name,city,job_benefits,job_description,industry_standard,industry_group,job_skills,other_requirement,exp_numeric,salary_min_norm,salary_max_norm,avg_salary,skills_list,merged_job_skills,cluster
171600944,海外娱乐主播（BIGOLIVE）,文化艺术/娱乐,4.0,6.0,千,月,无需经验,,在线,2026-04-15 11:19:24,2026-04-15 18:01:19,广西钦州万象天更文化传媒有限责任公司,,提成,"职位详情：
海外主播/艺人（无需英文赚美金）
主做华语区
只需一台苹果手机就可开播
国内太卷，试试国外直播平台吧
不签约，不捆绑，来去自由
- 待遇：平台收益65％ （播满15天/30小时）
- 年龄要求：18-28岁（接受小白，情商高、有才艺优先）
- 海外纯绿色平台（华语区）不签任何套路合约、随时可解约
- 国内亲戚朋友刷不到，保护隐私避免社恐！
- 事业生活两不误，在家在公司都能播，氛围轻松无压力！

新人开播2个月80%可以收入过万
A级主播月入2~3w
S级主播可以月入6~8w
S+级可以月入10~20w（少数）
遇事不决，可问豆包
——————【职位公示信息】——————
【工作平台】BigoLive
【工作具体内容】线上主播
【工作要求】播满30天/15小时
【薪资计算标准】平台阶梯图65%提成
【是否收费及收费标准】否
【结算方式】月结
————————————————————

年龄要求：
18-32岁

职能类别：
网络主播",服务业/文化娱乐,文化与艺术,"主播, 娱乐主播, 海外直播, 才艺主播",18-28岁（接受小白；情商高、有才艺优先）；事业生活两不误；职位公示信息；工作具体内容】线上主播；18-32岁；网络主播,0.0,4000.0,6000.0,5000.0,"['主播', '娱乐主播', '海外直播', '才艺主播']","主播,娱乐主播技能包,才艺主播",2
171601261,保洁员,文化艺术/娱乐,3.6,4.0,千,月,2年,,在线,2026-04-15 01:30:22,2026-04-15 18:47:59,武汉市志丰文化发展有限公司,武汉·黄陂区,"餐饮补贴,年终奖金","职位详情：
全场卫生 打扫台面 工作认真负责，积极主动，能吃苦耐劳，尽职尽责

职能类别：
保洁",服务业/文化娱乐,文化与艺术,"积极主动, 能吃苦耐劳, 尽职尽责",全场卫生 打扫台面 工作认真负责；积极主动；能吃苦耐劳；尽职尽责；保洁,0.2,3600.0,4000.0,3800.0,"['积极主动', '能吃苦耐劳', '尽职尽责']","积极主动,能吃苦耐劳,尽职尽责",1
171605985,教务班主任(锦江校区),文化艺术/娱乐,8.0,12.0,千,月,无需经验,,在线,2026-04-15 10:02:36,2026-04-15 19:07:21,成都市金牛区星安艺文化艺术培训学校,成都·锦江区,"五险,员工旅游,带薪年假,专业培训","职位详情：
岗位职责：
1。负责学校的招生工作，完成招生
2。跟进潜在学生，提供专业咨询，完成报名手续
3。学生管理(出勤，反馈)
岗位要求：
1。具备良好的沟通能力和说服力，善于与人交流2。热爱教育事业，有责任心，具备团队合作精神3。有招生或销售相关工作经验者优先

薪资待遇：
年薪：6W-20W+月薪：综合9000+
社保：入职买社保，无考核
福利：节假日，生日，团建，带薪培训

工作时间：9:00-18:00，休周一，周二上(一天半)

职能类别：
院校教务管理人员",服务业/文化娱乐,文化与艺术,"销售, 招生, 教育, 报名手续, 出勤, 专业咨询, 学生管理",善于与人交流2。；热爱教育事业；有责任心；入职买社保,0.0,8000.0,12000.0,10000.0,"['销售', '招生', '教育', '报名手续', '出勤', '专业咨询', '学生管理']","销售,招生,教育,报名手续,出勤,专业咨询,学生管理",2
171590574,产品引入商务,文化艺术/娱乐,1.0,2.0,万,月,3年及以上,大专,在线,2026-04-15 04:04:07,2026-04-15 20:03:08,广州市优翔传媒有限公司,广州,"五险一金,补充医疗保险,五险一金,补充医疗保险","职位详情：
岗位职责:
1、负责外部游戏产品合作引入;
2、负责拓展与维护游戏厂商关系，及时发掘新的合作机会;
3、负责与CP建立起长期友好的合作关系，促成与优质CP的深度合作;
4、负责对引入的游戏产品质量进行评估，并负责行业信息和竞品信息的收集与分析;
5、负责寻找潜在游戏研发以及发行商，挖掘有潜力的游戏产品建立合作。任职要求:
1、专科及以上学历，热爱游戏行业;
2、3年以上游戏行业产品引入经验;
3、有一定的CP资源，有较强研发或发行方资源者优先;
3、良好的个人品行和团队合作精神，勤奋敬业，能承受较大的工作压力;
4、具备优秀商务谈判技巧，有良好的心理素质和较强的人际交往公关能力;
5、对市场有较为深刻的理解，熟知市场和主流产品情况者优先。

职能类别：
产品经理/主管",服务业/文化娱乐,文化与艺术,"研发, 游戏行业, 商务谈判, 市场",1、专科及以上学历；勤奋敬业；4、具备优秀商务谈判技巧；有良好的心理素质和较强的人际交往公关能力,0.3,10000.0,20000.0,15000.0,"['研发', '游戏行业', '商务谈判', '市场']","研发,游戏行业,商务谈判,市场",1
171599557,视频剪辑,广告,8.0,12.0,千,月,3年及以上,大专,在线,2026-04-15 04:04:03,2026-04-15 20:03:58,南京相对文化传播有限公司,南京,五险一金,"职位详情：
1、熟练操作三维设计软件，如3DMAX、C4D、Blender等，具体软件不限。
2、熟练使用视频剪辑软件AE/PR等。
3、熟练掌握AIGC相关软体，高效运用相关工具完成高质量出品。
4、能根据项目需求，提出具体的视觉构想，独立完成项目制作。
5、具有优秀的审美能力及良好的沟通协调能力，能够高效地完成工作，保证出品质量。
6、对地产广告有从业经验有经验者优先。

职能类别：
后期制作",服务业/文化娱乐,文化与艺术,"pr, 视频剪辑, 3dmax, ae, 三维设计软件, 地产广告, blender, aigc, c4d",保证出品质量。,0.3,8000.0,12000.0,10000.0,"['pr', '视频剪辑', '3dmax', 'ae', '三维设计软件', '地产广告', 'blender', 'aigc', 'c4d']","pr,视频剪辑,3dmax,ae,三维设计软件,地产广告,blender,aigc,c4d",1
171601400,广告设计师（五险一金）,其他行业,1.3,1.5,万,月,无需经验,大专,在线,2026-04-15 02:18:11,2026-04-15 20:05:09,广州途嘉科技有限公司,上海,"五险一金,周末双休,年终奖金,餐饮补贴,节日福利,带薪年假,交通补贴,全勤奖,做五休二","职位详情：
【工作内容】
- 负责公司各类广告设计工作，包括但不限于海报、宣传册、社交媒体视觉等内容；
- 配合市场团队完成品牌推广相关的视觉创意设计；
- 参与项目策划，提供创意设计方案并进行执行落地；
- 保持与团队的高效沟通，确保设计作品符合品牌调性与项目需求。
【任职要求】
- 具备良好的审美能力和创意设计思维；
- 熟练使用Photoshop、Illustrator等设计软件；
- 对色彩、版式、构图有敏锐的感知力；
- 有较强的责任心和团队协作精神，能适应快节奏工作环境；
- 不限工作经验，欢迎应届毕业生或热爱设计行业的求职者加入。

年龄要求：
25岁以上

职能类别：
平面设计师",其他行业,文化与艺术,"photoshop, 设计软件, 品牌推广, 海报, 项目策划, 色彩, illustrator, 广告设计, 宣传册, 构图, 市场团队",能适应快节奏工作环境；欢迎应届毕业生或热爱设计行业的求职者加入。,0.0,13000.0,15000.0,14000.0,"['photoshop', '设计软件', '品牌推广', '海报', '项目策划', '色彩', 'illustrator', '广告设计', '宣传册', '构图', '市场团队']","设计软件技能包,品牌推广,海报,项目策划,色彩,广告设计,宣传册,构图,市场团队",2
171600978,海外娱乐主播,文化艺术/娱乐,4.0,6.0,千,月,无需经验,,在线,2026-04-15 11:19:30,2026-04-15 21:09:43,广西钦州万象天更文化传媒有限责任公司,,提成,"职位详情：
海外主播/艺人（无需英文赚美金）
只需一台苹果手机就可开播
国内太卷，试试海外平台吧
不签约，不捆绑，来去自由
- 待遇：平台收益65％ （播满15天/30小时）
- 年龄要求：18-28岁（接受小白，情商高、有才艺优先）
- 海外纯绿色平台（华语区）不签任何套路合约、随时可解约
- 国内亲戚朋友刷不到，保护隐私避免社恐！
- 事业生活两不误，在家就能播，氛围轻松无压力！

新人开播2个月80%可以收入过万
A级主播月入2~3w
S级主播可以月入6~8w
S+级可以月入10~20w（少数）
——————【职位公示信息】——————
【工作平台】BigoLive
【工作具体内容】线上直播，才艺，跳舞，唠嗑都行，平台自带翻译，轻松聊天
【工作要求】播满每月15天30小时
【薪资计算标准】平台阶梯图65％提成
【是否收费及收费标准】不收费
【结算方式】月结
————————————————————

年龄要求：
18-32岁

职能类别：
网络主播",服务业/文化娱乐,文化与艺术,"海外直播, 娱乐主播, 线上主播",18-28岁（接受小白；情商高、有才艺优先）；事业生活两不误；职位公示信息；才艺；轻松聊天；工作要求】播满每月15天30小时；18-32岁；网络主播,0.0,4000.0,6000.0,5000.0,"['海外直播', '娱乐主播', '线上主播']","娱乐主播技能包,线上主播",2
171600437,剪辑学徒,影视/媒体/艺术/文化传播,5.0,10.0,千,月,无需经验,,在线,2026-04-15 08:47:48,2026-04-15 23:18:54,四川百智德信息技术有限公司,郑州,"交通补贴,餐饮补贴,年终奖金","职位详情：
兼职（新手可做）每天要有1到2个小时的时间
公司现招聘对自媒体短祝频感兴趣的兼职运营人员数名，新手小白有无相关经验都可以，在家有电脑即可工作
1.负责Ai图文撰写、短视频编辑、发布各种形式的内容，包括文字、图片、视频等，更多的是利用好Al技术方法，会电脑的伙伴就能做得来。
2.有无经验均可，有技术一对一来教你上手做，听完教的方法就能开始做！
要求：1.需要会电脑基本操作如打字打开网页等操作
2家里有电脑，因为要用到剪映软件简单处理
3-每天有1-2个小时的空余时间操作，是做多个账号的内容，后期大家可根据收入投入更多的时间做更多的账号，多劳多得，自媒体收入无上限
4有一定的坚持度。
满足以上要求的且确实想找份在家就能干的兼职副业的伙伴欢迎来详细了解

职能类别：
后期制作",服务业/文化娱乐,文化与艺术,"电脑, 打字, 自媒体, al",后期大家可根据收入投入更多的时间做更多的账号；多劳多得；4有一定的坚持度。,0.0,5000.0,10000.0,7500.0,"['电脑', '打字', '自媒体', 'al']","电脑,打字,自媒体,al",2
171609660,仓储管理员,文化艺术/娱乐,6.7,8.7,千,月,无需经验,中技/中专,在线,2026-04-15 11:19:25,2026-04-15 23:40:19,苏州游离象限文化创意有限公司,苏州·姑苏区,"带薪年假,年终奖金,绩效奖金,员工旅游,专业培训,出差补贴,定期体检","职位详情：
【工作内容】
- 负责仓库日常物资出入库管理，包括货物接收、验收、上架、盘点及发货操作
- 按照SOP执行库存数据录入与维护，确保账实相符率≥99%
- 定期进行库存周转分析，提出呆滞物料处理建议
- 协助完成仓库5S现场管理及安全巡检
- 配合物流部门处理异常订单及客户退换货事宜
【任职要求】
- 中专及以上学历，专业不限（物流/供应链相关专业优先）
- 接受应届毕业生或转岗人员，有志于从事仓储行业者优先
- 熟练使用Excel函数公式及ERP系统基础操作
- 具备较强责任心与抗压能力，能适应阶段性加班需求
- 需具备基本计算机操作能力及普通话沟通技巧

年龄要求：
23岁以上

职能类别：
仓库管理员",服务业/文化娱乐,文化与艺术,"计算机, sop, excel, erp, 验收, 物流, 现场管理, 盘点, 发货, 供应链",中专及以上学历；专业不限（物流/供应链相关专业优先）；接受应届毕业生或转岗人员；具备较强责任心与抗压能力,0.0,6700.0,8700.0,7700.0,"['计算机', 'sop', 'excel', 'erp', '验收', '物流', '现场管理', '盘点', '发货', '供应链']","计算机,sop,excel,erp,验收,物流,现场管理,盘点,发货,供应链",2
171611829,试衣有点累工资还OK,广告,1.0,1.5,万,月,无需经验,,在线,2026-04-15 12:25:34,2026-04-15 23:47:29,武汉市映华菲传媒有限公司,武汉·黄陂区,"绩效奖金,五险一金,带薪年假,节日福利,年终奖金,全勤奖,餐饮补贴,五险,交通补贴,弹性工作,员工旅游","职位详情：
如果你想改变穿衣风格，欢迎您前来公司面试，不同环境有不一样的标准，不同的活动场所需要不一样的美。
每个人都有属于自己不一样的美,独特的美气质,因此只要你足够自信阳光。
主要内容展示：各种风格服装、古装、汉服、婚纱、礼服、首饰、旗袍、化妆品、香水、鞋帽箱包等；以及海报、周刊杂志宣传等.
性格活泼开朗，善于沟通，具备较强责任心，不随意缺席工作。
不怕你做不好就怕你不想学习，欢迎勤奋好学的来参加报名。

职能类别：
促销员/导购员",服务业/文化娱乐,文化与艺术,"性格活泼开朗, 善于沟通, 具备较强责任心, 不随意缺席工作, 勤奋好学",性格活泼开朗；善于沟通；具备较强责任心；不随意缺席工作。；欢迎勤奋好学的来参加报名。,0.0,10000.0,15000.0,12500.0,"['性格活泼开朗', '善于沟通', '具备较强责任心', '不随意缺席工作', '勤奋好学']","性格活泼开朗,善于沟通,具备较强责任心,不随意缺席工作,勤奋好学",2
