job_id,job_title,industry_name,salary_min,salary_max,salary_unit,salary_period,experience_required,education_required,status,publish_date,collected_at,company_name,city,job_benefits,job_description,industry_standard,industry_group,job_skills,other_requirement,exp_numeric,salary_min_norm,salary_max_norm,avg_salary,skills_list,merged_job_skills,cluster
171606502,物业维修（白班8小时）,物业管理/商业中心,4.0,4.2,千,月,1年及以上,高中,在线,2026-04-15 10:16:40,2026-04-15 17:51:01,嘉信立恒设施管理（上海）有限公司,桂林,五险,"职位详情：
一、岗位职责：
1，具备简单维修能力；
2，熟练使用常见维修工具；
3，更换灯管/开关/插座；
4，处理水龙头漏水/马桶堵塞；
5，日常巡检照明/水路/门窗；
6，接到报修10分钟内响应并处理简单故障，复杂故障及时上报；
7、外来快递管控整理，维护区域卫生（5S标准）；
8、巡逻检查：消防设施每日检查，活动物资搬运协助。
二、任职资格：
年龄：40周岁以内
学历：高中及以上学历
素质要求：会使用office办公软件
外貌要求：五官端正，体态均匀，身高1.7M以上，无纹身、无明显疤痕，精神面貌好。

年龄要求：
16-40岁

职能类别：
物业维修员",服务业/物业管理,管理与咨询,"维修, 5s, 门窗, 消防设施, 照明, 维修工具, 开关, 插座, 巡逻检查",40周岁以内；学历：；高中及以上学历；素质要求：；外貌要求：；体态均匀；精神面貌好。,0.1,4000.0,4200.0,4100.0,"['维修', '5s', '门窗', '消防设施', '照明', '维修工具', '开关', '插座', '巡逻检查']","维修,5s,门窗,消防设施,照明,维修工具,开关,插座,巡逻检查",1
171598906,贸易/外贸专员/助理,其他专业服务,1.0,1.2,万,月,无需经验,大专,在线,2026-04-14 18:56:19,2026-04-15 17:51:19,义乌市金杉湖生物科技有限公司,义乌,"带薪年假,员工旅游,年终奖金,绩效奖金,专业培训,定期体检,出差补贴","职位详情：
【工作内容】
- 负责公司外贸业务的日常操作，包括订单处理、客户沟通及跟进；
- 协助开发和维护海外客户资源，拓展国际市场；
- 跟进进出口流程，协调物流、报关等相关事务；
- 收集并分析市场信息，为公司提供有效的市场反馈与建议。
【任职要求】
- 大专及以上学历，国际贸易、商务英语或相关专业优先；
- 具备良好的英语听说读写能力，能熟练进行商务沟通；
- 熟悉外贸流程及相关单证操作，有相关工作经验者优先；
- 工作认真细致，具备较强的责任心和团队协作精神。

年龄要求：
23岁以上

职能类别：
贸易/外贸专员/助理",专业服务/其他,管理与咨询,"客户沟通, 报关, 订单处理",大专及以上学历；国际贸易、商务英语或相关专业优先；工作认真细致,0.0,10000.0,12000.0,11000.0,"['客户沟通', '报关', '订单处理']","客户沟通,报关,订单处理",1
171620064,物业客服,国企,4.5,5.3,千,月,1年及以上,大专,在线,2026-04-15 16:23:39,2026-04-15 17:59:13,广州珠江城市管理服务集团股份有限公司第六分公司,广州·花都区,"五险一金,高温补贴","职位详情：
·23-40岁，具有1年以上物业管理工作经验，年龄放宽至45岁，大专及以上学历；
·熟悉物业客服或物业管家工作流程；
·会说粤语，能流畅沟通优先；
·能熟练使用电脑办公软件，具备基本电脑操作能力，有物业管理师等物业中级以上证件优先。

年龄要求：
23-45岁

职能类别：
物业管理专员/助理",公共事业/国有企业,管理与咨询,"物业管理, 电脑, 粤语, 电脑办公软件, 物业客服, 物业管家, 物业管理师",23-40岁；大专及以上学历；能流畅沟通优先；23-45岁,0.1,4500.0,5300.0,4900.0,"['物业管理', '电脑', '粤语', '电脑办公软件', '物业客服', '物业管家', '物业管理师']","物业管理,电脑,粤语,电脑办公软件,物业客服,物业管家,物业管理师",1
171610043,本部上班 接听客服,外包服务,5.0,7.0,千,月,无需经验,大专,在线,2026-04-15 11:28:50,2026-04-15 17:59:27,合肥泰盈信息科技有限公司,合肥·包河区,"奖金,五险一金,带薪病假,员工旅游,绩效奖金,五险一金","职位详情：
工作内容：负责接听回复银行客户咨询，解答储蓄卡问题（银行卡挂失、激活，密码修改等），纯文职无任何销售。
任职要求：大专及以上学历 18-40周岁
工作时间：轮班制，月休8天，日工作8小时，不加班；
薪资待遇：试用期两个月，基本薪资2800+绩效，综合薪资4000-4500左右
转正基本薪资3100+绩效+工龄奖+其他补贴奖金，综合薪资4500-7000左右
薪资详情
薪资范围：4000-8000元/月 公司提供设施完善的公寓宿舍，独卫，配备热水器、空调、提供住宿生活方便，交通便利~

年龄要求：
18-40岁

职能类别：
客服专员/助理",服务业/外包服务,管理与咨询,"接听回复客户咨询, 解答储蓄卡问题, 银行卡挂失, 银行卡激活, 密码修改, 纯文职, 大专及以上学历",大专及以上学历 18-40周岁；轮班制；日工作8小时；薪资详情；薪资范围：；独卫,0.0,5000.0,7000.0,6000.0,"['接听回复客户咨询', '解答储蓄卡问题', '银行卡挂失', '银行卡激活', '密码修改', '纯文职', '大专及以上学历']","接听回复客户咨询,解答储蓄卡问题,银行卡挂失,银行卡激活,密码修改,纯文职,大专及以上学历",1
171610155,通知登记岗位,外包服务,5.0,10.0,千,月,无需经验,,在线,2026-04-15 11:42:56,2026-04-15 18:00:13,合肥泰盈信息科技有限公司,合肥·包河区,"餐补,奖金,五险一金","职位详情：
入职报销车费
工作内容
负责电话联系银行客服办理业务，工作简单，无经验要求，无学历要求

工作时间
朝九晚六，周末休息，法定节假日休息

薪酬待遇：
入职提供带薪培训，本岗位偏向通知类综合4500+绩效薪资，
试用期人均综合工资在6200左右
两个月转正后综合收入：7000-17000/月，收入上不封顶！

提供住宿，餐补满勤

该项目具有广阔的职业发展空间，欢迎广大的符合应聘条件的求职者投递简历。

年龄要求：
18-40岁

职能类别：
客服专员/助理",服务业/外包服务,管理与咨询,"电话联系, 银行客服, 办理业务",入职报销车费；工作简单；欢迎广大的符合应聘条件的求职者投递简历。；18-40岁；客服专员/助理,0.0,5000.0,10000.0,7500.0,"['电话联系', '银行客服', '办理业务']","电话联系,银行客服,办理业务",1
171617355,文员（双休+五险一金）,咨询,4.0,5.0,千,月,1年及以上,本科,在线,2026-04-15 15:23:59,2026-04-15 18:01:06,杭州睿函企业管理咨询有限公司,绍兴·越城区,"五险一金,生日福利,高温补贴,年终奖,节日福利,双休,交通补贴,餐饮补贴,绩效奖金,年终奖金,周末双休,带薪年假,团建活动","职位详情：
本公司是新加坡华新会计事务所在绍兴的分所
岗位职责：
1.处理客户下单的文件，出具相关决议文件给客户签署，回复客户提出的简单问题咨询；
2.网站信息录入；
3.根据新加坡公司法，出具相关决议文件，协助客户完成公司信息变更（有统一模版）；
4.完成主管布置的临时性工作。
任职要求：
1.大学本科以上学历，1年以上相关工作经验，英语相关专业优先；
2.工作细致有耐心，能熟练操作常用办公软件；
3.英语良好，能处理基本书面英语文件（有统一模版）；
公司地址： 绍兴市越城区灵芝街道越发大厦1901-2室
福利：双休、入职缴纳五险一金、高温补贴、节日福利、生日福利、交通及中餐补贴、年休假、年终奖等完善的福利。
工作时间：9:00-17:30（12:00-13:30午休 ）

年龄要求：
22-28岁

职能类别：
文员",专业服务/咨询,管理与咨询,"英语良好, 处理基本书面英语文件, 熟练操作常用办公软件, 新加坡公司法",1.大学本科以上学历；英语相关专业优先；2.工作细致有耐心,0.1,4000.0,5000.0,4500.0,"['英语良好', '处理基本书面英语文件', '熟练操作常用办公软件', '新加坡公司法']","英语良好,处理基本书面英语文件,熟练操作常用办公软件,新加坡公司法",1
171608127,加热模块工程师,其他专业服务,1.2,1.8,万,月,3年及以上,大专,在线,2026-04-15 10:54:04,2026-04-15 18:32:51,浙江大自然户外用品股份有限公司上海分公司,上海·松江区,"五险一金,员工旅游,餐饮补贴,专业培训,绩效奖金,年终奖金","职位详情：
【岗位职责】
1、负责智能床垫加热系统（石墨烯 / 碳纤维等发热技术）的方案设计、器件选型（发热体、温度传感器、控制模块）与原理图绘制；
2、主导加热模块的样品制作、性能测试（温控精度、加热均匀性、低功耗）及量产工艺落地，解决发热效率、安全防护（防漏电 / 过热）等技术问题；
3、对接软件团队实现加热模式（升温 / 保温）、分区控温等智能控制功能，完成模块与床垫整体系统的集成适配；
4、编制加热模块技术规范、测试标准及生产 SOP，保障产品符合安全认证要求；
5、跟踪行业加热技术趋势，推动模块迭代优化，提升用户体验与产品竞争力。

【任职要求】
1、大专及以上学历，电子工程、自动化、机械电子等相关专业；
2、三年以上发热模块 / 智能硬件相关工作经验，有床垫、智能家居或家电加热系统设计经验者优先；
3、熟悉发热体（石墨烯 / 碳纤维）特性、温度传感器应用及 PID 等控制算法，掌握 CAD/Altium 等设计工具；
4、具备独立完成模块从设计到量产的全流程经验，能解决样品测试与量产中的常见技术问题；
5、了解家电安全认证标准（如 UL/CE），具备良好的跨部门沟通与项目推进意识。

职能类别：
热能工程师",专业服务/其他,管理与咨询,"智能家居, 温度传感器",1、大专及以上学历,0.3,12000.0,18000.0,15000.0,"['智能家居', '温度传感器']","智能家居,温度传感器",2
171584742,物业运营成本控制经理,物业管理/商业中心,1.0,1.5,万,月,5年及以上,本科,在线,2026-04-15 09:24:41,2026-04-15 18:38:45,南京世丰物业管理有限公司,南京·鼓楼区,"带薪年假,五险一金","职位详情：
岗位职责：
1. 负责公司园区、商业街区、老旧厂房改造后出租物业的日常运营成本管理工作。
2. 建立并完善物业运营成本台账、费用分类标准、预算管理及分析机制。
3. 负责对保安、保洁、绿化、垃圾清运、电梯维保、消防维保、零星维修、小型改造等费用进行审核与控制。
4. 参与项目年度预算编制、月度成本分析及偏差整改，推动降本增效。
5. 结合项目现场实际，审核维修、维保、更换、改造方案的必要性和合理性，避免无效支出和重复投入。
6. 推动供应商询价、比价、议价及履约评价，逐步建立合格供应商库。
7. 参与项目现场巡检，识别浪费点、管理漏洞及异常费用，提出优化建议。
8. 对局部改造、招商配套投入、客户定制工程等事项进行投入产出测算，支持经营决策。

任职要求：
1. 5年以上物业、园区运营、商业运营、产业园或存量资产运营相关经验。
2. 有物业工程、设施设备管理、维修维保、零星工程、运营成本控制相关经验者优先。
3. 熟悉物业运营中的常见费用项目，包括但不限于消防、电梯、空调、给排水、强弱电、保洁、保安、垃圾清运、绿化、日常维修等。
4. 能看懂基础维修报价、维保合同、工程方案及预算执行情况，具备较强的费用分析、比价议价和成本管控能力。
5. 具有较强现场意识，能够深入项目一线发现问题，而不仅仅停留在表格层面。
6. 责任心强，执行力强，沟通协调能力较好。
7.优先考虑：做过物业公司工程条线 + 成本控制的人；
做过园区/商业街区/产业园/商管项目运营的人；
做过维修维保采购、零星工程管理、供应商管理的人；
做过老旧物业改造后运营的人。

职能类别：
成本经理/成本主管",服务业/物业管理,管理与咨询,"成本控制, 维修, 物业, 给排水, 消防, 绿化, 成本分析, 保洁, 议价, 成本管控",5. 具有较强现场意识；6. 责任心强；执行力强；7.优先考虑：,0.5,10000.0,15000.0,12500.0,"['成本控制', '维修', '物业', '给排水', '消防', '绿化', '成本分析', '保洁', '议价', '成本管控']","成本控制,维修,物业,给排水,消防,绿化,成本分析,保洁,议价,成本管控",2
171563824,出纳,多元化业务集团公司,4.5,5.0,千,月,5年及以上,大专,在线,2026-04-15 11:05:19,2026-04-15 18:39:06,集成投资控股集团有限公司,佛山,"五险一金,做五休二,带薪年假,双休,节日福利,通讯补贴","职位详情：
【工作内容】
- 负责公司日常收支管理及账务处理，确保资金安全与账目准确；
- 协助完成财务报表的编制与核对，提供财务数据支持；
- 处理与房地产及物业相关的费用核算、发票管理及税务事务；
- 配合部门完成资金调度及财务审计相关工作。
【任职要求】
- 大专及以上学历，财务、会计相关专业优先；
- 5年以上出纳工作经验，有房地产或物业行业经验者优先；
- 熟悉财务软件及办公软件操作，具备良好的职业操守和责任心；
- 具备较强的沟通能力与团队协作精神，能适应一定工作压力。

职能类别：
出纳",企业集团/多元化,管理与咨询,"财务软件操作, 办公软件操作, 房地产行业经验, 物业行业经验, 财务报表编制, 费用核算, 发票管理, 税务事务, 资金调度, 财务审计",大专及以上学历；财务、会计相关专业优先；具备良好的职业操守和责任心,0.5,4500.0,5000.0,4750.0,"['财务软件操作', '办公软件操作', '房地产行业经验', '物业行业经验', '财务报表编制', '费用核算', '发票管理', '税务事务', '资金调度', '财务审计']","财务软件操作,办公软件操作,房地产行业经验,物业行业经验,财务报表编制,费用核算,发票管理,税务事务,资金调度,财务审计",2
171611851,滴滴标注 早九晚六 双休 住宿,外包服务,4.0,6.0,千,月,无需经验,大专,在线,2026-04-15 12:27:58,2026-04-15 18:42:37,广东鸿联九五信息产业有限公司,内江,"双休早九晚六,年假婚假产假,双休,每周双休,绩效奖金,专业培训,带薪年假,节日福利,弹性工作,产假,年假","职位详情：
【工作内容】滴滴审核，简单好上手，无销售，无电话
【工作时间】早九晚六，双休
【薪资待遇】保底3000，综合5000
【福利待遇】年假婚假产假，提供住宿，接受小白，无任何销售性质，不需要缴纳任何费用，好上手，带薪培训

职能类别：
内容审核",服务业/外包服务,管理与咨询,内容审核,简单好上手；好上手,0.0,4000.0,6000.0,5000.0,['内容审核'],内容审核,1
