industry_group,cluster_id,profile_name,profile_name_prompt_file,job_count,cluster_percentage_in_industry,top_titles,core_skills,experience,other_requirements,education,salary_min_avg,salary_max_avg,llm_prompt_file
机械工程,1,机械工程管理岗,clustered_output/profile_name_prompt_机械工程_1.txt,73,27.97,设备主管; 轮机监造工程师; 物控专员; 车铣复合师傅; 生产主管,项目管理; 模具; 新能源; 英语; 办公软件; 机械; 调试; 图纸; 塑胶模具; 数据分析,5年及以上,大专及以上学历；机械/模具/工程相关专业优先；具备较强的责任心和抗压能力；具备良好的团队精神和学习能力；能接受出差或现场服务,本科,11497.26,17787.67,clustered_output/prompt_机械工程_1.txt
机械工程,2,机械技术员,clustered_output/profile_name_prompt_机械工程_2.txt,188,72.03,装配工; 磨床技术员; 机械设计工程师; 成本会计; 仓管员,办公软件; 机械; excel技能包; 数据分析; 销售; 自动化; erp; 生产; 调试; cad,3年及以上,大专及以上学历；责任心强，工作细致严谨；具备较强的动手或技术执行能力；能适应现场工作或短期出差；具备良好的学习能力和团队意识,大专,7528.9,11618.97,clustered_output/prompt_机械工程_2.txt
计算机技术,1,计算机技术支持,clustered_output/profile_name_prompt_计算机技术_1.txt,138,74.19,年底新开厂保底1w+可做短期/坐班; 新媒体运营; ui交互设计师; 桌面运维工程师; 桌面运维工程师（五险一金）,办公软件; 计算机; 电脑; 装配; 电气装配; 网络设备; 网络技能包; 数据分析; 质检技能包; 万用表技能包,无需经验,大专及以上学历或相关专业背景；工作细致认真，有责任心，学习能力强；能适应快节奏或灵活工作环境，抗压性好；具备良好的沟通协作或执行能力；年龄通常在18-45岁之间，部分接受应届生,未知,8054.98,11520.98,clustered_output/prompt_计算机技术_1.txt
计算机技术,2,技术运营经理,clustered_output/profile_name_prompt_计算机技术_2.txt,48,25.81,城市经理; 履约-区域运力策略运营（华南）; 数据库运维研发工程师（DBA）; (CNC)操作工管住 （长沙）; 业务经理,数据分析能力; 计算机; 跨部门协作能力技能包; 数据分析; java; 市场拓展; 项目管理; Python; 问题解决能力; 英语,3-4年,本科及以上学历，计算机或相关专业优先；具备优秀的跨部门协作与沟通能力；具备数据分析能力与业务洞察力；工作严谨负责，结果导向，抗压能力强；具备项目管理与问题解决能力,本科,15631.94,24590.28,clustered_output/prompt_计算机技术_2.txt
人力资源,1,轨道交通安检员,clustered_output/profile_name_prompt_人力资源_1.txt,113,73.38,站点安全巡视上一休一; 铁路安检五险一金+包食宿; 双休轨道安全管理五险一金; 车站工作人员/五险一金; 巡视安全五险一金长期稳定,安检员; 安全检查; 乘务员; 组装技能包; 治安管理技能包; 安全巡查; 安全员; 秩序维护; 检查票务; 乘辅警,无需经验,身体健康，能适应轮班或倒班工作制；年龄通常在18-45岁之间，部分要求特定区间；学历要求多为中专/高中及以上，部分不限学历；具备良好的服务意识、责任心及应急处置能力；退役军人、应届毕业生或转行人员常被优先考虑,中技/中专,6329.5,8543.07,clustered_output/prompt_人力资源_1.txt
人力资源,2,综合业务管理岗,clustered_output/profile_name_prompt_人力资源_2.txt,41,26.62,信审核查; 长沙 某国企 海外商务经理 直签; 设备调试工程师; 跟单员; 招聘/培训专员,销售; 管理; 团队建设技能包; 市场营销战略计划技能包; 招聘; 风险防控技能包; 项目管理; 自动化; 计算机; 办公软件,3年及以上,本科或大专及以上学历；具备较强的沟通协调与团队管理能力；工作认真负责，有责任心与抗压能力；年龄通常在25-45岁之间；有相关行业经验或专业背景优先,大专,13398.37,21528.46,clustered_output/prompt_人力资源_2.txt
商业与贸易,1,商务销售专员,clustered_output/profile_name_prompt_商业与贸易_1.txt,33,41.25,技术支持工程师; 销售; 有机硅材料销售代表; 化妆品店长（成都金楠龙湖天街）; Sales Manager,团队管理; 销售; ai; 商品管理; 市场开拓; 开发新客户; 大客户销售; 展览馆; 标识标牌; 成列道具,3年及以上,大专及以上学历，相关专业优先；具备良好的沟通与谈判能力；抗压能力强，适应快节奏和出差；有销售经验或客户服务意识；学习能力强，能适应市场变化,大专,10853.54,15868.69,clustered_output/prompt_商业与贸易_1.txt
商业与贸易,2,商务运营专员,clustered_output/profile_name_prompt_商业与贸易_2.txt,47,58.75,外贸跟单员; 急招配送员400一天可预支; 内仓分拣理货水产; 网络销售/在线销售; 设计总监助理,办公软件; 效期管理技能包; 销售; 出库; 客户开发; 财务技能包; 电动车; 外贸业务员技能包; 项目管理; 客情关系,无需经验,大专及以上学历，学习能力强；工作细致严谨，责任心强；具备沟通协调和团队协作能力；能适应快节奏或出差工作；有客户服务或销售相关经验优先,大专,5851.51,8571.71,clustered_output/prompt_商业与贸易_2.txt
生物与医药,1,医药综合管理岗,clustered_output/profile_name_prompt_生物与医药_1.txt,19,22.35,行政经理; 产品经理/主管; 研发工程师; ToG解决方案咨询; 乳化经理,团队管理; 市场调研; 药学; 团队建设; ehs; 行政管理; 后勤保障; 固定资产; 办公用品; 控制运营成本,5年及以上,本科及以上学历；责任心强；具备团队协作能力；能适应出差,本科,13991.23,21973.68,clustered_output/prompt_生物与医药_1.txt
生物与医药,2,医药市场技术专员,clustered_output/profile_name_prompt_生物与医药_2.txt,66,77.65,医疗器械销售; 质量工程师; it技术支持; 医药信息沟通专员-岳阳; 媒体投放,销售; 医药; 医学; 药学; 技术支持; 数据分析; 市场营销; 市场推广; 办公软件; 计算机技能包,无需经验,本科及以上学历，医药学相关专业优先；具备良好的学习能力和抗压能力；责任心强，工作积极主动；能适应出差或外勤工作；具备销售、市场推广或技术支持相关技能,大专,7686.87,11909.09,clustered_output/prompt_生物与医药_2.txt
