job_id,job_title,industry_name,salary_min,salary_max,salary_unit,salary_period,experience_required,education_required,status,publish_date,collected_at,company_name,city,job_benefits,job_description,industry_standard,industry_group,job_skills,other_requirement,exp_numeric,salary_min_norm,salary_max_norm,avg_salary,skills_list,merged_job_skills,cluster
171613305,销售经理,电气/电力/水利,4.0,6.0,千,月,1-5年,本科,在线,2026-04-15 13:46:51,2026-04-15 17:52:01,锐洋集团东北电缆有限公司,沈阳·浑南区,"节日福利,全勤奖,专业培训,社会保险,带薪年假,绩效奖金,免费工作餐","职位详情：
一、岗位职责：
1.承担国网各省份业务的日常履约与维护工作；
2.协同内勤人员处理维护难题，并推进回款事宜；
3.配合部门领导，确保其他项目顺利执行与履约；
4.主动开拓并完善个人负责的项目；
5.完成领导交办的其他各项任务。

二、岗位需求：
1.具备大专及以上学历；
2.拥有一定的运维相关工作经验；
3.能够熟练驾驶，且适应频繁出差的工作要求；
4.具备出色的沟通能力、强烈的服务意识以及良好的团队合作精神。

年龄要求：
25-35岁

职能类别：
销售经理",能源电力/电气水利,能源与动力,"运维, 回款, 驾驶",二、岗位需求：；1.具备大专及以上学历；且适应频繁出差的工作要求；25-35岁；销售经理,0.3,4000.0,6000.0,5000.0,"['运维', '回款', '驾驶']","运维,回款,驾驶",1
171617108,暖通/制冷方案工程师,电气/电力/水利,1.0,2.0,万,月,8年及以上,大专,在线,2026-04-15 15:17:50,2026-04-15 17:56:58,比赫电气（太仓）有限公司,太仓,"五险一金,绩效奖金,免费工作餐","职位详情：
岗位职责
1、对客户需求进行技术分解，与客户沟通技术细节，引导客户使用我司标准品或现有技术平台产品；
2 、基于客户技术要求制定产品整体设计方案及成本核算清单；
3 、整理归档客户输入文件及设计输出文件；
4 、组织召开设计方案评审及设计输出文件评审；
5 、组织召开新项目立项会议；
6 、参加设计方案评审及设计输出文件评审，对设计方案及成本核算进行审核把关；
7、 根据客户变更要求，发起内部ECR并更新设计输出文件；
8 、制定行业产品介绍及行业解决方案介绍，并对销售人员进行培训；
9、 对销售提供售前技术支持，配合销售人员与客户进行技术交流。
任职要求
1、制冷与低温工程、热能与低温工程等相关专业，精通流体力学、传热学等相关专业知识；
2 、具有制冷系统等相关冷却产品设计开发经验，能独立完成产品设计开发；
3 、熟练使用AUTOCAD、solidworks/cero等相关设计软件；
4、具有良好的沟通及逻辑思维能力，善于与人交流；
5、良好的客户服务意识和团队合作精神，一定的组织协调能力；
6 、8年及以上相关工作经验，适应短期出差。

职能类别：
解决方案经理",能源电力/电气水利,能源与动力,设计方案,精通流体力学、传热学等相关专业知识；4、具有良好的沟通及逻辑思维能力；善于与人交流；一定的组织协调能力；适应短期出差。,0.8,10000.0,20000.0,15000.0,['设计方案'],设计方案,2
171598187,西藏开投共享公司-业务财务岗,电气/电力/水利,1.0,1.5,万,月,5年及以上,本科,在线,2026-04-14 18:12:05,2026-04-15 17:57:46,西藏开发投资集团有限公司,拉萨·堆龙德庆区,"保险,五险一金,年终奖金,绩效奖金,专业培训,定期体检,补充医疗保险,通讯补贴,节假日福利,住房补贴","职位详情：
注意!注意!注意!有意者请到西藏开发投资集团官网浏览相应招聘信息，严格按规定简历模板和相关流程投递简历。前程无忧只做工作岗位展示，不做消息接收。
任职资格要求：
1.年龄：30周岁以下；
2.学历：全日制本科及以上学历；
3.专业：会计、金融、财务管理、经济学等相关专业；
4.工作经验：具有财务会计或相关岗位工作经验；
5.职称（职/执业资格）：具有财会专业初级及以上职称；
6.其他要求：熟悉企业财务流程及内控要求，熟练使用财务软件（如用友、金蝶等）及办公软件；具备良好的沟通协调能力、执行力和团队合作意识；身体健康，能适应高原工作环境；
7.特别优秀者可适当放宽条件。
主要工作职责：
1.负责业务单据（纸质原始单据、电子影像）的收集、核对与完整性审核，做好与共享服务公司会计核算部的单据移交及衔接工作；
2.配合区域财务总监编报月度资金计划，参与资产管理（包括资产盘点、清产核资、资产保险等），协调内部业务部门财务相关事务；
3.审核各类费用报销单、应付单、付款单等业务单据，确保数据准确、内容真实合规，符合公司制度及相关法律法规要求；
4.负责附件资料的完整性、一致性审核，并跟进资料归档工作，确保财务档案规范管理；
5.完成领导交办的其他工作。

年龄要求：
16-30岁

职能类别：
财务专员",能源电力/电气水利,能源与动力,"办公软件, 财务, 金融, 会计, 财务管理, 金蝶, 财务软件, 用友, 资产管理, 经济学",30周岁以下；2.学历：；全日制本科及以上学历；3.专业：；会计、金融、财务管理、经济学等相关专业；5.职称（职/执业资格）：；具有财会专业初级及以上职称；身体健康；能适应高原工作环境；7.特别优秀者可适当放宽条件。；主要工作职责：；4.负责附件资料的完整性、一致性审核；并跟进资料归档工作,0.5,10000.0,15000.0,12500.0,"['办公软件', '财务', '金融', '会计', '财务管理', '金蝶', '财务软件', '用友', '资产管理', '经济学']","办公软件,财务技能包,金融,财务管理,金蝶,财务软件,用友,资产管理,经济学",2
171607061,电芯生产组长 泰国,新能源,9.0,12.0,千,月,3年及以上,大专,在线,2026-04-15 10:29:26,2026-04-15 17:58:48,欣旺达动力科技股份有限公司,义乌,"五险一金,绩效奖金,年终奖金,专业培训,节日福利,定期体检,带薪年假,季度奖金","职位详情：
招聘工序：涂布、辊压模切、装配、测试段
订单多、A客户、项目多、发展平台稳定
【要求】
1、大专及以上学历，38岁以内
2、3年以上锂电行业生产经验，熟悉电芯核心工序（如涂布、包膜、卷绕等工序）；
3、熟悉生产设备操作及基础维护，了解工艺标准和质量管理工具（如SPC、5WHY）；

薪资待遇：税前综合9-12k,住宿4人间上床下桌，免费吃饭

年龄要求：
25-38岁

职能类别：
生产领班/组长",制造业/新能源,能源与动力,"测试, 质量管理, 装配, spc, 生产设备, 锂电行业, 工艺标准, 5why, 涂布, 包膜",招聘工序：；1、大专及以上学历；38岁以内；25-38岁,0.3,9000.0,12000.0,10500.0,"['测试', '质量管理', '装配', 'spc', '生产设备', '锂电行业', '工艺标准', '5why', '涂布', '包膜']","测试,质量管理,装配,spc,生产设备,锂电行业,工艺标准,5why,涂布,包膜",1
171616581,应用开发主管,新能源,2.0,2.5,万,月,5年及以上,大专,在线,2026-04-15 15:04:41,2026-04-15 17:59:52,常州斯威克光伏新材料有限公司,常州·金坛区,"五险一金,周末双休","职位详情：
岗位职责：
1. 主导应用系统（ERP、PLM、CRM、SRM、协同办公）的实施与验收，制定项目计划并跟踪进度，确保按时交付。
2. 负责应用开发组（2-3人）的日常管理、任务分配、技术指导与绩效评估，建立技术规范与代码评审机制。
3. 与财务、采购、生产、研发、营销等业务部门沟通，梳理并转化业务需求为技术方案，协调内外部资源保障交付。
4. 主导低代码平台（泛微E10）上的CRM、SRM、OA等应用开发；主导ERP、PLM、OA的二次开发及接口集成。
5. 管理与ERP、PLM等外部实施商的关系，把控交付质量，组织方案评审与项目验收。
6. 统筹应用系统的日常运维、问题处理、版本升级，保障系统稳定可用。
7. 跟踪AI、低代码等前沿技术，挖掘业务场景中的智能化应用机会，推动AI应用试点落地。

任职要求：
1. 统招大专及以上学历，5年以上制造业信息化工作经验，其中至少2年以上团队管理或项目主导经验
2. 至少主导过1个完整的企业级ERP项目（从选型到上线），熟悉用友BIP、金蝶云·星空或鼎捷T100等主流ERP系统
3. 有PLM、低代码平台（泛微E10）或CRM/SRM项目实施经验者优先
4.了解流程制造行业业务模式者优先
5. 掌握数据库（SQL）及至少一种编程语言（Java/C#/Python），能够主导技术评审和疑难问题解决

福利待遇：周末双休、五险一金、包吃包住、提供班车

职能类别：
项目主管",制造业/新能源,能源与动力,"java, 数据库, sql, erp, 团队管理, c#, 日常管理, oa, ai, 项目验收",1. 统招大专及以上学历,0.5,20000.0,25000.0,22500.0,"['java', '数据库', 'sql', 'erp', '团队管理', 'c#', '日常管理', 'oa', 'ai', '项目验收']","java,数据库,sql,erp,团队管理,c#,日常管理,oa,ai,项目验收",2
171610751,cnc编程,新能源,9.0,14.0,千,月,3年及以上,,在线,2026-04-15 11:47:05,2026-04-15 18:00:40,广东为华新材料技术有限公司,惠州·惠城区,五险,"职位详情：
1.对产品的工艺评估
2.负责新产品的开发，对产品的夹治具设计
3.优化加工程序，成型刀具的设计
4.现场产品尺寸确认与跟进
5.协同主管完成新产品上线计划
6.机台的日常保养及维护检查
7.熟练，快速用Mastetcam,UG,等编程软件出刀路
8.对手机方面产品，加工经验独到者优先
9.会探头、宏程序优先

职能类别：
CNC/数控编程",制造业/新能源,能源与动力,"ug, 机台, 手机, 编程软件, 工艺评估, 刀路, 探头, 尺寸确认, 加工, 夹治具",,0.3,9000.0,14000.0,11500.0,"['ug', '机台', '手机', '编程软件', '工艺评估', '刀路', '探头', '尺寸确认', '加工', '夹治具']","ug,机台,手机,编程软件,工艺评估,刀路,探头,尺寸确认,加工,夹治具",1
171616681,风力发电运维员/运维工程师,新能源,5.0,10.0,千,月,无需经验,中技/中专,在线,2026-04-15 15:07:26,2026-04-15 18:49:13,河北顿星新能源科技有限公司,石家庄·赵县,六险一金,"职位详情：
岗位职责：
1、负责风力发电机组故障处理、日常运行维护、电气部分检修保养，保障风电机组安全、稳定运行；
2、现场安装督导、调试和试运行等工作以及隐患的排查、整改，及相关信息、资料的记录和收集工作；
3、按时参加公司组织的各类培训、积极学习风电相关技术。

任职要求:
可接受中长期出差；
无恐高、色盲色弱等职业病；
能吃苦耐劳，服从公司业务分配、调动；
可接受应届毕业生；

薪资待遇：
工资待遇：实习5000左右，转正6000-12000 ；
入职直签""劳动合同"" 缴纳六险一金；

公司重视员工的职业发展，为员工提供广阔的晋升空间和职业发展通道。

技术路线---初级工程师 中级工程师 高级工程师
管理路线---项目经理→大项目经理→ 区域经理

年龄要求：
23-45岁

职能类别：
普工/操作工",制造业/新能源,能源与动力,"风力发电机组故障处理, 日常运行维护, 电气部分检修保养, 现场安装督导, 调试和试运行, 隐患的排查 整改, 信息 资料的记录和收集","可接受中长期出差；无恐高、色盲色弱等职业病；能吃苦耐劳；可接受应届毕业生；入职直签""劳动合同"" 缴纳六险一金；公司重视员工的职业发展；为员工提供广阔的晋升空间和职业发展通道。",0.0,5000.0,10000.0,7500.0,"['风力发电机组故障处理', '日常运行维护', '电气部分检修保养', '现场安装督导', '调试和试运行', '隐患的排查 整改', '信息 资料的记录和收集']","风力发电机组故障处理,日常运行维护,电气部分检修保养,现场安装督导,调试和试运行,隐患的排查 整改,信息 资料的记录和收集",1
171618054,风电运维（储备）定检工程师,新能源,5.0,9.0,千,月,无需经验,中技/中专,在线,2026-04-15 15:50:23,2026-04-15 18:49:48,河北顿星新能源科技有限公司,石家庄·无极县,六险一金,"职位详情：
六险一金，带薪休假
综合工资实习5000左右，转正6000-12000 ，每次涨幅500-1000不等；
无经验也可，公司重视员工的职业发展，为员工提供广阔的晋升空间和职业发展通道。表现优秀的员工有机会晋升为运维班长、项目经理等管理岗位，或成为技术专家，负责复杂技术问题的解决和团队技术指导。

技术路线---初级工程师 中级工程师 高级工程师
管理路线---小白-成手-班长-片区经理→大项目经理→ 合伙人
公司深耕多年，专业从事风力发电项目，公司拥有先进的风力发电技术和设备，旗下风电场分布广泛，凭借高效的管理团队和专业的技术力量，在行业内树立了良好的口碑。秉持 “创新驱动、绿色发展” 的理念，公司致力于为社会提供清洁、可靠的能源，积极推动风电行业的发展与进步。
如果你热爱新能源事业，渴望在风电领域一展身手，欢迎加入我们的团队！我们将为你提供一个实现自我价值、共同成长的平台。

年龄要求：
23-45岁

职能类别：
普工/操作工",制造业/新能源,能源与动力,"风力发电项目, 风力发电技术, 风电场, 运维班长, 项目经理, 技术专家, 新能源事业, 风电领域",公司重视员工的职业发展；为员工提供广阔的晋升空间和职业发展通道。；或成为技术专家；专业从事风力发电项目；在行业内树立了良好的口碑。；23-45岁,0.0,5000.0,9000.0,7000.0,"['风力发电项目', '风力发电技术', '风电场', '运维班长', '项目经理', '技术专家', '新能源事业', '风电领域']","风力发电项目,风力发电技术,风电场,运维班长,项目经理,技术专家,新能源事业,风电领域",1
171619444,工艺经理,新能源,2.0,2.7,万,月,5年及以上,本科,在线,2026-04-15 16:07:33,2026-04-15 18:52:08,祥鑫（宁波）汽车部件有限公司,宁波·余姚市,"五险一金,员工旅游,餐饮补贴,专业培训,绩效奖金,年终奖金,双休","职位详情：
一、基本条件
学历专业：本科及以上学历，机械设计、材料成型、焊接技术与工程、车辆工程等相关专业。
工作经验：
5年以上汽车行业工艺相关工作经验；
3年以上工艺团队管理经验（主管/经理级别）。
软件能力：熟练使用CATIA、UG、CAD等设计软件，具备审图与方案优化能力。
二、核心技术能力
机器人焊接：
精通安川、发那科机器人调试、编程与夹具匹配；
具备多机器人协同工作站规划能力。
焊接工艺：
精通MIG焊、点焊、弧焊工艺参数设计与缺陷分析；
深入掌握铝连接工艺（SPR、FDS、CMT等），具备量产经验。
工艺规划：
有焊接夹具设计或评审经验；
熟悉新能源电池托盘制造工艺者优先。
三、管理能力
具备工艺标准化、工艺文件体系建设能力；
能主导跨部门（生产、质量、设备、研发）技术攻关；
有成本控制、效率提升、新产线导入的管理经验。

职能类别：
机械研发经理/主管",制造业/新能源,能源与动力,"管理, cad, 成本控制, 机械设计, 编程, ug, 车辆工程, 量产, 审图, 技术攻关, 新能源",学历专业：；本科及以上学历；二、核心技术能力；具备多机器人协同工作站规划能力。；具备量产经验。；三、管理能力,0.5,20000.0,27000.0,23500.0,"['管理', 'cad', '成本控制', '机械设计', '编程', 'ug', '车辆工程', '量产', '审图', '技术攻关', '新能源']","管理,cad,成本控制,机械设计,编程,ug,车辆工程,量产,审图,技术攻关,新能源",2
169955787,QE工程师(J10078),新能源,1.2,1.5,万,月,3年及以上,大专,在线,2026-04-15 16:41:28,2026-04-15 18:56:38,苏州一航电子科技股份有限公司,苏州·相城区,"五险一金,带薪年假,节日福利,周末双休,免费工作餐","职位详情：
工作职责:
1. 负责制定并执行质量开发任务，确保产品设计满足预定的质量标准，策划新产品的先期产品质量,确保过程与APQP 要求相符。
2. 参与新产品的设计评审，对关键工序进行识别，评估其对产品质量的影响，并提出建议，以提升制造过程的控制能力，确保本岗位质量目标的达成。
3. 与客户沟通项目阶段质量相关的要求。
4. 收集&审核 PPAP 文件包。协同项目向客户提交 PPAP 文件并获得批准。
5. 审核各新产品,并进行整改,给出客户标准要求。处理项目阶段的质量问题，分析原因并汇报给客户,
6. 质量相关项目资料制作和更新，包括PPAP、SPC、MSA、CP、SIP等，确保本岗位质量目标（KPI）达成。
7. 负责制程内质量问题处理，组织开展分析和改进;
8. 负责连接器产品的质量成本的目标制定与达成；
9. 负责QC人员的协调安排、培训、绩效考核等；
10.负责客诉投诉的处理及内部协调处理.；
11.参与审核应对和质量管理体系的执行及改进措施的落地执行，例如工程变更、8D报告、相关质量流程关键控制点、以及质量标准化的持续改进与优化等。
12.数据收集整理，从不同维度分析形成可视化趋势分析，及周报月报整理；

任职资格:
1. 大专及以上学历，理工类专业；
2. 熟悉机械、电子类产品的原理、能看懂机械图纸、具有一定的机械动手能力；
3. 3年及以上汽车电子、高压连接器、高压线束、充电枪、充电桩行业工作经验，有全流程质量管理经验；
4. 熟悉IATF16949标准等相关基础知识，了解APQP、MSA、FMEA、SPC、PPAP五大工具以及质量改进和技术、六西格玛工具等，熟练应用QC七大手法、8D等质量管理工具；
5. 熟悉测量体系、以及公司经营发展所需的有关体系的相关知识；
6. 能推动本部门体系工作不断进步和完善；

职能类别：
质量工程师",制造业/新能源,能源与动力,"高压连接器, 高压线束, 充电枪, 充电桩",1. 大专及以上学历；理工类专业；6. 能推动本部门体系工作不断进步和完善,0.3,12000.0,15000.0,13500.0,"['高压连接器', '高压线束', '充电枪', '充电桩']","高压连接器,高压线束,充电枪,充电桩",1
