job_id,job_title,industry_name,salary_min,salary_max,salary_unit,salary_period,experience_required,education_required,status,publish_date,collected_at,company_name,city,job_benefits,job_description,industry_standard,industry_group,job_skills,other_requirement,exp_numeric,salary_min_norm,salary_max_norm,avg_salary,skills_list,merged_job_skills,cluster
171621351,仓库管理员(J10011),化工,5.0,7.0,千,月,2年及以上,中技/中专,在线,2026-04-15 16:55:50,2026-04-15 18:23:27,苏州亚科科技股份有限公司,苏州,"五险一金,带薪年假,年终奖金,专业培训,定期体检,有餐补,交通补贴,出差补贴,免费工作餐,项目奖金","职位详情：
",制造业/化工,化学与化工,"仓库, 台账, 出入库, 叉车证, 仓管, 单据整理, 仓库5s管理",,0.2,5000.0,7000.0,6000.0,"['仓库', '台账', '出入库', '叉车证', '仓管', '单据整理', '仓库5s管理']","仓库,台账,出入库,叉车证,仓管,单据整理,仓库5s管理",2
171608899,化工销售,石油/化工/矿产/地质,7.0,12.0,千,月,2年及以上,大专,在线,2026-04-15 11:03:39,2026-04-15 18:39:19,上海宇昂水性新材料科技股份有限公司,上海·浦东新区,"五险一金,员工旅游,餐饮补贴","职位详情：
（一）负责公司化工原料药及高分子材料产品的国内销售及市场推广，完成年度销售计划；
（二）根据公司市场营销战略，提升销售价值，积极完成销售量指标，扩大产品市场占有率；
（三）与客户保持良好沟通，实时把握客户需求；
（四）动态把握市场价格，定期向公司提供市场分析预测报告和个人工作周报；负责辖区市场信息的收集及竞争对手的分析；
（五）维护和开拓新的销售渠道和新客户，自主开发及拓展下游用户，尤其是终端用户。
【岗位要求】
（一）大专以上学历，化学/高分子专业，医药专业，市场营销专业或有志从事销售工作的积极进取的精英。
（二）热爱销售工作，勇于挑战自我，正能量满满，思维敏捷，良好的口才和市场开拓经验；
（三）有较强的沟通，协调能力和团队协作能力；
（四）具备一定的市场分析及判断能力，良好的客户服务意识；有责任心，能承受市场竞争压力；
（五） 有一定医药原辅料销售经验，有一定高分子化学销售经验者优先

职能类别：
销售工程师",制造业/化工矿产,化学与化工,"化工原料药销售, 高分子材料销售, 市场推广, 市场营销战略, 客户沟通, 市场分析预测, 竞争对手分析, 销售渠道开拓, 客户开发, 医药原辅料销售经验, 高分子化学销售经验",（一）大专以上学历；医药专业；市场营销专业或有志从事销售工作的积极进取的精英。；（二）热爱销售工作；勇于挑战自我；正能量满满；思维敏捷；良好的口才和市场开拓经验；（三）有较强的沟通；良好的客户服务意识；有责任心,0.2,7000.0,12000.0,9500.0,"['化工原料药销售', '高分子材料销售', '市场推广', '市场营销战略', '客户沟通', '市场分析预测', '竞争对手分析', '销售渠道开拓', '客户开发', '医药原辅料销售经验', '高分子化学销售经验']","化工原料药销售,高分子材料销售,市场推广,市场营销战略,客户沟通,市场分析预测,竞争对手分析,销售渠道开拓,客户开发,医药原辅料销售经验,高分子化学销售经验",2
171615238,环评工程师,石油/化工/矿产/地质,1.0,1.5,万,月,3年及以上,本科,在线,2026-04-15 14:36:34,2026-04-15 18:40:37,河南油田工程科技股份有限公司,成都·天府新区,"五险一金,绩效奖金,餐饮补贴,定期体检,交通补贴,通讯补贴,节日福利,带薪年假","职位详情：
工作地点：成都/德阳
专业及学历要求：石油工程、环境工程相关专业，本科以及以上学历。岗位描述：
（1）主持参与环评、环保验收、应急预案等环保技术服务相关工作；
（2）负责与甲方沟通对接，完成甲方委托的工作；
（3）编写技术报告；
（4）配合部门做好项目评审的相关组织工作；
（5）负责项目完成后相关资料收集、整理，并按存档要求及时归档。
任职要求：
（1）熟悉环保体系相关流程，熟悉环保法律法规及标准规范；
（2）具有石油工程、环境工程相关专业背景，具有3年及以上从业经历；
（3）能熟练操作电脑，能熟练应用office、AutoCAD、excel、PowerPoint等软件进行文字、图表处理及排版工作；
（4）具有环评工程师等相关资格证书者优先；
（5）45岁以下、有一定文字写作能力。

年龄要求：
27-45岁

职能类别：
环境影响评价工程师",制造业/化工矿产,化学与化工,"excel, office, 电脑, 归档, 资料收集, powerpoint, 排版, 应急预案, 环保验收, 项目评审",（2）具有石油工程、环境工程相关专业背景；（4）具有环评工程师等相关资格证书者优先；（5）45岁以下、有一定文字写作能力。,0.3,10000.0,15000.0,12500.0,"['excel', 'office', '电脑', '归档', '资料收集', 'powerpoint', '排版', '应急预案', '环保验收', '项目评审']","excel,office,电脑,归档,资料收集,powerpoint,排版,应急预案,环保验收,项目评审",2
130541756,化工工艺工程师,石油/化工/矿产/地质,1.0,2.0,万,月,3年及以上,本科,在线,2026-04-15 09:23:20,2026-04-15 19:00:58,南京中设石化工程有限公司,南京·玄武区,"五险一金,绩效奖金,年终奖金","职位详情：
岗位职责
1.负责确定生产装置的工艺流程、进行流程模拟计算的数据库与计算模型建立，进行物料衡算与热量衡算,并绘制PFD,UID；
2.负责工艺设备的工艺计算；确定工艺设备规格及技术要求；编制工艺设备数据表；
3.负责编写工艺说明文件，根据工艺需要，提出控制方案，绘制装置内工艺系统的管道及仪表流程图（PID）；
4.协助设备专业支持设备的技术评标，编制炼油项目可行性研究报告，进行炼油项目的技术开发和业务建设；
任职资格：
1、大学本科及以上学历，化学工程相关专业;
2、3年以上化工设计院工作经验，取得注册化工工程师执业证书者优先;

职能类别：
化工工程师",制造业/化工矿产,化学与化工,"工艺流程, 化学工程, 化工设计院, 工艺设计, 化工, 工艺, 化学工程工艺",1、大学本科及以上学历,0.3,10000.0,20000.0,15000.0,"['工艺流程', '化学工程', '化工设计院', '工艺设计', '化工', '工艺', '化学工程工艺']","工艺流程,化学工程,化工设计院,工艺设计,化工,工艺,化学工程工艺",2
169471998,家具漆技术应用工程师,石油/化工/矿产/地质,7.0,11.0,千,月,5年及以上,中技/中专,在线,2026-04-15 16:30:38,2026-04-15 19:06:48,珠海展辰新材料股份有限公司,珠海·高栏港经济区,"五险一金,五险,带薪年假,带薪病假,年终奖金,绩效奖金,项目奖金,定期体检","职位详情：
一、任职要求：
1、45岁以下，中专或以上学历、化学化工相关专业优先；
2、精通家具漆的应用指导，PU/PE/水性产品的性能，色差辨别率强、有美感、细心、耐心，有较好的服务意识、人际理解力、沟通力、应变力；
3、熟悉化学化工基础知识、调色原理、家具涂装知识，有5年以上家具涂料调色或现场服务工作经验优先考虑。
二、岗位职责：
1、负责客户现场技术服务工作，根据市场需求或客户要求现场开发色板，并将现场样品、样板提供给公司；
2、负责或协助对所属领域客户现场服务类涂装应用技能培训和帮助低岗级同事专业能力提升；
3、负责工作现场7S（包括安全）的管理工作。

年龄要求：
25-45岁

职能类别：
涂装工艺工程师",制造业/化工矿产,化学与化工,"家具漆, 水性产品",1、45岁以下；中专或以上学历、化学化工相关专业优先；色差辨别率强、有美感、细心、耐心；有较好的服务意识、人际理解力、沟通力、应变力,0.5,7000.0,11000.0,9000.0,"['家具漆', '水性产品']","家具漆,水性产品",1
145486500,技术服务工程师,石油/化工/矿产/地质,7.0,12.0,千,月,无需经验,本科,在线,2026-04-15 15:50:24,2026-04-15 19:42:12,常州华科聚合物股份有限公司,常州·新北区,"五险一金,绩效奖金,年终奖金,定期体检,周末双休,专业培训","职位详情：
",制造业/化工矿产,化学与化工,"复合材料, 研发",,0.0,7000.0,12000.0,9500.0,"['复合材料', '研发']","复合材料,研发",2
171602438,行政人事主管,化工,7.0,9.0,千,月,1年及以上,大专,在线,2026-04-15 08:11:54,2026-04-15 21:06:32,江苏申隆锌业有限公司,九江·瑞昌市,"五险一金,带薪年假,绩效奖金","职位详情：
岗位职责:
1. 执行行政管理制度，确保公司运营符合政策与法规要求。
2. 协调招聘、培训及绩效管理，全面负责人力资源工作。
3. 负责行政预算编制与成本控制，优化资源配置。
4. 组织公司会议及活动，保障流程顺畅。
5. 管理档案及合规事务，提升行政流程效率。

任职要求:
1. 具备相关管理工作经验者优先。
2. 熟悉当地法规、行政人事办事流程，会说本地方言。
3. 具有团队管理经验，擅长跨部门沟通与协作。
4. 熟练使用办公软件，具备良好的问题分析与解决能力。
5. 工作细致，具备风险识别与应对能力。
6. 适应高强度工作节奏，有责任心和执行力。

年龄要求：
26-40岁

职能类别：
人事主管",制造业/化工,化学与化工,"办公软件, 管理, 成本控制, 团队管理, 人力资源, 行政管理, 绩效管理, 行政人事, 风险识别",3. 具有团队管理经验；5. 工作细致；具备风险识别与应对能力。；6. 适应高强度工作节奏；有责任心和执行力。,0.1,7000.0,9000.0,8000.0,"['办公软件', '管理', '成本控制', '团队管理', '人力资源', '行政管理', '绩效管理', '行政人事', '风险识别']","办公软件,管理,成本控制,团队管理,人力资源,行政管理,绩效管理,行政人事,风险识别",2
171603449,物探监督,石油/化工/矿产/地质,4.0,5.0,万,月,5年及以上,大专,在线,2026-04-15 09:04:49,2026-04-15 21:07:01,成都代瑞克能源技术有限责任公司,成都·成华区,,"职位详情：
【工作内容】
- 跟踪物探作业流程，监督野外勘探质量、数据采集及处理工作的执行情况；
- 监督相关技术人员进行数据处理及成果报告的编写工作；
- 审查合作服务商提交的资料和报告，确保符合项目标准；
- 按照甲方要求，按时完成各类汇报材料的整理与提交；
- 完成公司安排的其他相关工作任务。
【任职要求】
- 大专及以上学历，地球物理、地质或相关专业背景；
- 5年以上物探工作经验，有物探监督经验者优先考虑；
- 具备良好的职业道德素养及团队协作能力；
- 持有物探监督相关证书；
- 具备基础的英语口语及书面沟通能力；
- 熟悉物探专业软件及Office办公软件系统。

年龄要求：
28岁以上

职能类别：
岩土工程",制造业/化工矿产,化学与化工,"英语口语, 数据采集, 地质, 成果报告, 地球物理, 物探, 数据处理",大专及以上学历；地球物理、地质或相关专业背景；持有物探监督相关证书,0.5,40000.0,50000.0,45000.0,"['英语口语', '数据采集', '地质', '成果报告', '地球物理', '物探', '数据处理']","英语口语,数据采集,地质,成果报告,地球物理,物探,数据处理",1
132066361,生产班长,石油/化工/矿产/地质,9.0,12.0,千,月,3-4年,高中,在线,2026-04-15 15:50:26,2026-04-15 22:36:46,常州华科聚合物股份有限公司,常州·新北区,"带薪年假,五险一金,绩效奖金,节日福利,专业培训,高温补贴","职位详情：
1、组织班组成员做好班前生产准备工作；安排生产任务；
2、负责生产现场的管理，协调、指导内、外操人员的生产活动；
3、负责日常工作中的巡查和监督工作，处理异常情况；
4、能适应倒班；
5、完成上级交办的其他工作。

高中及以上学历；40周岁以下；适应倒班；具备制造业一线管理经验，有化工行业经验优先。

年龄要求：
30-42岁

职能类别：
生产领班/组长",制造业/化工矿产,化学与化工,"生产, 化工行业, 生产现场管理, 制造业, 巡查, 监督, 管理",1、组织班组成员做好班前生产准备工作；安排生产任务；协调、指导内、外操人员的生产活动；3、负责日常工作中的巡查和监督工作；4、能适应倒班；高中及以上学历；40周岁以下；适应倒班；30-42岁,0.35,9000.0,12000.0,10500.0,"['生产', '化工行业', '生产现场管理', '制造业', '巡查', '监督', '管理']","生产,化工行业,生产现场管理,制造业,巡查,监督,管理",2
171667353,农业机械设计,石油/化工/矿产/地质,9.0,18.0,千,月,3年及以上,本科,在线,2026-04-17 17:04:26,2026-04-18 11:57:23,上海弘睿生物科技有限公司,上海·闵行区,"五险一金,绩效奖金,专业培训,餐饮补贴,员工旅游,节日福利,带薪年假,补充医疗保险","职位详情：
【工作内容】
- 参与农业机械产品的设计与开发，完成结构设计、图纸绘制及技术方案制定；
- 协同团队进行产品测试与优化，提升设备性能与可靠性；
- 负责与生产、工艺部门沟通，确保设计方案的可行性与可制造性；
- 跟踪行业技术动态，持续改进产品设计，提高市场竞争力。
【任职要求】
- 本科及以上学历，机械设计、农业工程等相关专业；
- 熟悉CAD、SolidWorks等设计软件，具备良好的绘图能力；
- 对农业机械有一定的了解，有相关项目经验者优先；
- 具备较强的学习能力和团队协作精神，责任心强。

职能类别：
机械设计",制造业/化工矿产,化学与化工,"机械设计, 农业工程, CAD, SolidWorks, 绘图能力, 农业机械, 项目经验, 学习能力, 团队协作",本科及以上学历；具备良好的绘图能力；责任心强。,0.3,9000.0,18000.0,13500.0,"['机械设计', '农业工程', 'CAD', 'SolidWorks', '绘图能力', '农业机械', '项目经验', '学习能力', '团队协作']","机械设计,农业工程,CAD,SolidWorks,绘图能力,农业机械,项目经验,学习能力,团队协作",2
