job_id,job_title,industry_name,salary_min,salary_max,salary_unit,salary_period,experience_required,education_required,status,publish_date,collected_at,company_name,city,job_benefits,job_description,industry_standard,industry_group,job_skills,other_requirement,exp_numeric,salary_min_norm,salary_max_norm,avg_salary,skills_list,merged_job_skills,cluster
171606297,作物主管（新疆塔城）,环保,4.0,8.0,千,月,3年及以上,本科,在线,2026-04-15 10:11:35,2026-04-15 17:50:41,普罗生物技术（上海）有限公司,塔城,"五险一金,带薪年假,年终奖金,定期体检,有餐补,通讯补贴,交通补贴,出差补贴,专业培训","职位详情：
岗位职责：
1、探索和完善目标作物的全程营养方案，并结合市场需求提供产品改进意见；
2、根据基地需求，提供技术解决方案并落地探索；
3、搜索目标作物各阶段的栽培管理，种植收益，品种更迭等信息，并反馈公司；
4、解答基地或者同事有关该作物的技术咨询；
5、为商务人员提供技术支持，共同开发客户；
6、领导安排的其他工作。
岗位要求：
1、本科及以上涉农专业背景，三年以上相关工作经验；
2、善于发现问题，分析问题并解决问题的能力；
3、具有良好沟通能力和团队协作意识；
4、能适应出差。

职能类别：
农业技术员",环保行业,环境与安全,"营养方案, 栽培管理, 技术解决方案",1、本科及以上涉农专业背景；2、善于发现问题；4、能适应出差。,0.3,4000.0,8000.0,6000.0,"['营养方案', '栽培管理', '技术解决方案']","营养方案,栽培管理,技术解决方案",1
171603993,大客户销售（无锡居家办公）,环保,6.0,9.0,千,月,5年及以上,大专,在线,2026-04-15 09:19:59,2026-04-15 18:35:25,广州金田瑞麟环境科技有限公司,无锡,五险一金,"职位详情：
岗位职责：
1、负责空气洁净领域，空气净化设备和过滤器销售；
2、负责空气洁净领域市场的拓展、，大客户开发；
3、把握行业的动态，定期向公司提供市场分析及预测报告；
4、完成上级安排的其他工作任务。

任职要求：
1、大专以上学历，理工科优先；
2、 五年以上工业产品销售工作经验，对销售工作有高度的热情，有大客户开发经验，较强的自驱力和抗压能力。
3、工作认真负责，有较强沟通能力和团队协作能力，表达能力强，有亲和力；
4、有暖通设备、风机，净化车间工程、空气过滤材料或相关工业设备等行业的销售经验优先录取

注意：
1、此岗位岗位属于居家办公，必要时回总公司培训或开会
2、需要不定时全国出差

年龄要求：
30-50岁

职能类别：
大客户销售",环保行业,环境与安全,"销售, 市场分析, 市场拓展, 大客户开发, 预测报告, 工业产品销售, 空气净化设备, 风机, 暖通设备",1、大专以上学历；对销售工作有高度的热情；较强的自驱力和抗压能力。；3、工作认真负责；有亲和力；1、此岗位岗位属于居家办公；2、需要不定时全国出差,0.5,6000.0,9000.0,7500.0,"['销售', '市场分析', '市场拓展', '大客户开发', '预测报告', '工业产品销售', '空气净化设备', '风机', '暖通设备']","销售,市场分析,市场拓展,大客户开发,预测报告,工业产品销售,空气净化设备,风机,暖通设备",2
171620392,招商专员,环保,4.0,6.0,千,月,1年及以上,大专,在线,2026-04-15 16:31:36,2026-04-15 18:38:01,浙江安耐杰科技股份有限公司,杭州·富阳区,,"职位详情：
岗位职责：
1、负责楼宇项目招商工作，制订招商计划并据此落实执行；
2、负责组织进行资讯收集、市场调研、资料整理、数据分析、项目业态定位、研测报告撰写、服务意向书拟定等工作；
3、负责楼宇的租赁、推广及促成一线城市市中心甲级写字楼的租赁业务；
4、管理维护客户关系；
5、完成上级交办的其他事项。

任职要求：
1、大专以上学历，学习专业：经济学、市场营销、管理学、房地产等相关专业；
2、1年以上相关岗位经验以及有写字楼、商务楼、园区、工业厂房招商经验优先；
3、沟通与协调能力强，具一定抗压能力；
4、熟练使用办公软件。

具体薪资面议
办公地点：杭州市富闲路788号安耐杰科技园

职能类别：
招商/租赁/租售",环保行业,环境与安全,"办公软件, 房地产, 市场营销, 市场调研, 招商, 维护客户关系",1、大专以上学历；学习专业：；经济学、市场营销、管理学、房地产等相关专业；3、沟通与协调能力强；具一定抗压能力；具体薪资面议,0.1,4000.0,6000.0,5000.0,"['办公软件', '房地产', '市场营销', '市场调研', '招商', '维护客户关系']","办公软件,房地产,市场营销,市场调研,招商,维护客户关系",1
171612682,财务部经理,环保,2.0,3.0,万,月,8年及以上,本科,在线,2026-04-15 13:28:53,2026-04-15 20:22:30,帕克环保技术（上海）有限公司,上海·浦东新区,"五险一金,绩效奖金,定期体检,餐饮补贴,周末双休,补充医疗保险","职位详情：
岗位职责：
1、负责财务部门整体运营管理，建立健全财务管理制度和流程，协助制定公司财务规划；
2、组织编制总部所需的各类财务报告和财务数据，完成总部及海外关联企业的对接和对账工作；
3、协调并安排会计团队的工作，组织公司年度预算、决算及各类财务报表（月度/季度/年度），监督并管理预算执行情况；
4、负责内外部审计、财务合规检查及风险防控体系建设等工作；
5、统筹资金管理、成本控制、税务筹划及财务分析工作，支持公司经营决策；
6、对会计、出纳等岗位工作进行审核、监督和提升，确保财务报告的准确性和及时性。

任职要求：
1、8年以上财务管理相关工作经验，全日制本科以上学历；具备扎实的财务、会计专业知识，熟悉国家财经法规及会计准则，熟悉国际财务报告准则IFRS；
2、熟悉企业财务管理全流程，具备较强的财务分析与风险管控能力；
3、熟练使用财务软件，具备良好的数据处理与报告撰写能力，具备较强的组织协调能力、团队管理经验及跨部门协作意识；
4、CET-6以上，优秀的英文沟通和表达能力
5、中级会计师以上，有CPA，ACCA资格优先

年龄要求：
28-40岁

职能类别：
财务经理",环保行业,环境与安全,"财务, 审计, 预算, 会计, 财务管理, 成本控制, 财务报表, 团队管理, 对账, 运营管理",全日制本科以上学历；具备扎实的财务、会计专业知识；具备较强的组织协调能力、团队管理经验及跨部门协作意识,0.8,20000.0,30000.0,25000.0,"['财务', '审计', '预算', '会计', '财务管理', '成本控制', '财务报表', '团队管理', '对账', '运营管理']","财务,审计,预算,会计,财务管理,成本控制,财务报表,团队管理,对账,运营管理",2
171600352,线好营养师助理,环保,7.0,11.0,千,月,1年,大专,在线,2026-04-14 22:01:49,2026-04-15 20:27:13,上海登丽莱生物有限公司,杭州·萧山区,,"职位详情：
- 为用户提供个性化的营养咨询与健康指导服务，解答用户关于饮食、营养和健康管理的问题；
- 根据用户需求制定科学合理的饮食计划及健康建议；
- 参与线上课程，分享营养知识，提升用户健康意识；
- 与团队协作，优化营养咨询服务流程，提升用户体验。
【任职要求】
- 具备营养学、食品科学或相关专业背景，或持有营养师资格证书者优先；
- 拥有良好的沟通能力与客户服务意识，能够耐心细致地解答用户问题；
- 熟悉线上平台操作，具备基本的电脑及网络使用技能；
- 对健康行业有热情，愿意持续学习和提升自身专业能力。

年龄要求：
35-55岁

职能类别：
健康管理师",环保行业,环境与安全,"健康管理, 营养学, 健康行业, 饮食计划, 食品科学, 健康建议, 健康指导, 营养咨询",具备营养学、食品科学或相关专业背景；或持有营养师资格证书者优先；对健康行业有热情；愿意持续学习和提升自身专业能力。,0.1,7000.0,11000.0,9000.0,"['健康管理', '营养学', '健康行业', '饮食计划', '食品科学', '健康建议', '健康指导', '营养咨询']","健康管理,营养学,健康行业,饮食计划,食品科学,健康建议,健康指导,营养咨询",1
169040291,保洁,环保,3.0,3.0,千,月,2年及以上,初中及以下,在线,2026-04-15 13:58:34,2026-04-15 23:20:45,江苏永益环保科技有限公司,昆山,,"职位详情：
1、打扫厂区室内办公室及卫生间等，六天制（每日上午半天）
2、保洁阿姨1名，年龄50-55周岁
3、听从分配和安排，诚实守信，认真负责尽职尽责，身体健康，干活勤快，工作认真，有相关工作经验者优先考虑。

年龄要求：
50-55岁

职能类别：
保洁",环保行业,环境与安全,"打扫, 保洁阿姨",六天制（每日上午半天）；3、听从分配和安排；诚实守信；认真负责尽职尽责；身体健康；干活勤快；工作认真；50-55岁；保洁,0.2,3000.0,3000.0,3000.0,"['打扫', '保洁阿姨']","打扫,保洁阿姨",1
171648354,环保技术员,环保,3.0,5.0,千,月,2年及以上,大专,在线,2026-04-16 19:01:18,2026-04-17 08:55:37,广西弗莱士环保科技有限公司,崇左·江州区,"五险,专业培训","职位详情：
【工作内容】
1.负责污水处理设备的日常运行、维护及故障排查，确保系统稳定运行；
2. 监测水质指标，记录运行数据，协助编写水质分析报告；
3.参与污水处理工艺优化和技术改进，提升处理效率；
4.配合环保部门完成相关检查及资料整理工作。
【任职要求】
1.环境工程、给排水或相关专业大专及以上学历；
2.具备污水处理相关工作经验，熟悉污水处理流程及设备操作；
3.熟悉水质检测标准及环保法规，具备一定的数据分析能力；
4.工作责任心强，能适应现场作业，具备良好的团队协作精神。
5.有两年工作经验的优先
6.厂内提供住宿和工作餐

职能类别：
环保工程师",环保行业,环境与安全,"数据分析, 给排水, 污水处理, 资料整理, 工艺优化, 故障排查, 技术改进, 环保法规, 水质分析报告, 运行数据",1.环境工程、给排水或相关专业大专及以上学历；4.工作责任心强；能适应现场作业,0.2,3000.0,5000.0,4000.0,"['数据分析', '给排水', '污水处理', '资料整理', '工艺优化', '故障排查', '技术改进', '环保法规', '水质分析报告', '运行数据']","数据分析,给排水,污水处理,资料整理,工艺优化,故障排查,技术改进,环保法规,水质分析报告,运行数据",1
171649109,不招员工｜只分利润｜工业环保渠道合伙人｜50-200万,民营,5.0,10.0,万,月,10年及以上,,在线,2026-04-16 21:24:44,2026-04-17 09:07:04,南京菲尔耐斯环境技术有限公司,石家庄,,"职位详情：
【郑重说明】
本信息为菲尔耐斯生态合伙人招商，纯合作模式，非岗位招聘、不含任何用工性质。
欢迎资源型兼职、自由从业者、企业主合作，适合寻求长期合作发展人群了解。

菲尔耐斯专注工业废气、废液、固废治理、RTO焚烧系统、环保工程总包，源头厂家全链条技术与落地支持。

招募对象

拥有工厂、园区、设计院、环保工程、政企资源的个人、企业主、工程商，兼职资源合作方均可加入。

合作内容

对接项目、商务洽谈、资源跟进落地；
总部提供技术方案、施工落地、设备交付、售后保障全链条支撑。

合作收益

- 首单利润分成50%

- 固定合作服务费：合同额5%–10%

- 年收入空间可观，优质合作方可升级区域合伙、属地建厂深度合作

合作要求

具备行业优质资源，执行力强；
认可合伙共赢模式，支持兼职灵活运作，追求长期高收益。

本内容属于商业合作招商范畴，
仅面向渠道合伙及资源合作人群，不作为职场招聘信息发布。

年龄要求：
35岁以上

职能类别：
大客户销售",其他行业,环境与安全,"工业废气治理, 废液治理, 固废治理, RTO焚烧系统, 环保工程总包, 商务洽谈, 资源跟进落地, 技术方案, 施工落地, 设备交付",郑重说明；纯合作模式；欢迎资源型兼职、自由从业者、企业主合作；兼职资源合作方均可加入。；合作内容；合作收益；固定合作服务费：；优质合作方可升级区域合伙、属地建厂深度合作；合作要求；具备行业优质资源；执行力强；认可合伙共赢模式；支持兼职灵活运作；追求长期高收益。；本内容属于商业合作招商范畴；仅面向渠道合伙及资源合作人群；35岁以上,1.0,50000.0,100000.0,75000.0,"['工业废气治理', '废液治理', '固废治理', 'RTO焚烧系统', '环保工程总包', '商务洽谈', '资源跟进落地', '技术方案', '施工落地', '设备交付']","工业废气治理,废液治理,固废治理,RTO焚烧系统,环保工程总包,商务洽谈,资源跟进落地,技术方案,施工落地,设备交付",2
171649251,环境/健康/安全管理双休,其他行业,6.0,9.0,千,月,无需经验,大专,在线,2026-04-16 22:06:14,2026-04-17 09:16:24,成都道般鸣商贸有限公司,成都·天府新区,"五险一金,年终奖金,节日福利,周末双休,弹性工作,双休","职位详情：
【工作内容】
- 负责公司生产场所及办公区域的安全巡查与隐患排查，建立动态风险台账并推动整改闭环
- 制定、更新环境健康安全管理制度及应急预案，组织全员安全培训与应急演练
- 监督落实职业卫生防护措施，定期检测空气质量、噪音等指标并出具分析报告
- 协调处理安全事故调查与责任追溯，编制事故预防改进方案
- 对接政府监管部门完成环保合规审查，确保企业安全生产许可资质持续有效
【任职要求】
- 大专及以上学历，环境工程、公共卫生管理、安全工程等相关专业优先
- 掌握《安全生产法》《环境保护法》等法规基础，持有注册安全工程师证书者优先
- 熟练使用CAD绘制安全设施布局图，能独立编写安全评估报告及技术文档
- 具备较强的数据敏感性，可运用Excel进行安全数据分析与可视化呈现
- 拥有良好的跨部门沟通能力，能在高压环境下保持冷静并高效推进问题解决
- 接受阶段性出差或紧急事务响应，需适应弹性工作时间安排

职能类别：
EHS安全工程师",其他行业,环境与安全,"cad, excel, 应急预案, 安全工程, 应急演练, 隐患排查, 安全巡查, 安全事故调查, 公共卫生管理",大专及以上学历；环境工程、公共卫生管理、安全工程等相关专业优先；具备较强的数据敏感性；能在高压环境下保持冷静并高效推进问题解决；接受阶段性出差或紧急事务响应,0.0,6000.0,9000.0,7500.0,"['cad', 'excel', '应急预案', '安全工程', '应急演练', '隐患排查', '安全巡查', '安全事故调查', '公共卫生管理']","cad,excel,应急预案,安全工程,应急演练,隐患排查,安全巡查,安全事故调查,公共卫生管理",1
171670326,普工/操作工,环保,5.0,7.0,千,月,无需经验,,在线,2026-04-17 20:07:30,2026-04-18 12:04:48,芜湖绿色再生资源有限公司,芜湖·三山区,"五险一金,年终奖金,有五险","职位详情：
公司主营费用家电拆解，操作工主要负责四机一脑的拆解工作，造粒工负责操作造粒机对塑料进行破碎造粒的工作
能够接受夜班，身体健康，能够按照要求完成生产任务，确保拆解规范

年龄要求：
18-45岁

职能类别：
普工/操作工",环保行业,环境与安全,"家电拆解, 四机一脑拆解, 操作造粒机, 塑料破碎造粒, 接受夜班, 身体健康, 完成生产任务, 拆解规范",身体健康；确保拆解规范；18-45岁,0.0,5000.0,7000.0,6000.0,"['家电拆解', '四机一脑拆解', '操作造粒机', '塑料破碎造粒', '接受夜班', '身体健康', '完成生产任务', '拆解规范']","家电拆解,四机一脑拆解,操作造粒机,塑料破碎造粒,接受夜班,身体健康,完成生产任务,拆解规范",1
